Asesor,Nombre de tesista,Año de publicación,Resumen,Insitución,Titulo de la tesis,Grado
"Mauricio Sánchez, David Santos","Bravo Mullo, Silvia Jeaneth",2019,"Se analizaron seis aspectos sobre la detección de ataques DDoS: técnicas, variables, herramientas, ubicación de implementación, punto en el tiempo y precisión de detección. Este análisis permitió realizar una contribución útil al diseño de una estrategia adecuada para neutralizar estos ataques. En los últimos años, estos ataques se han dirigido hacia la capa de aplicación. Este fenómeno se debe principalmente a la gran cantidad de herramientas para la generación de este tipo de ataque. Por ello, además, en este trabajo se propone una alternativa de detección basada en el dinamismo del usuario web. Para esto, se evaluaron las
características del dinamismo del usuario extraídas de las funciones del mouse y del teclado. Finalmente, el presente trabajo propone un enfoque de detección de bajo costo que consta de dos pasos: primero, las características del usuario se extraen en tiempo real mientras se navega por la aplicación web; en segundo lugar, cada característica extraída es utilizada por un algoritmo de orden (O1) para diferenciar a un usuario real de un ataque DDoS. Los resultados de las pruebas con las herramientas de ataque LOIC, OWASP y GoldenEye muestran que el método propuesto tiene una eficacia de detección del 100% y que las características del dinamismo del usuario de la web permiten diferenciar entre un usuario real y un robot.",Universidad Nacional Mayor de San Marcos,Contribuciones para la Detección de Ataques Distribuidos de Denegación de Servicio (DDoS) en la Capa de Aplicación,Doctor en Ingeniería de Sistemas e Informática
"Mauricio Sánchez, David Santos","Oñate Andino, Mayra Alejandra",2022,"Determina la influencia de los 13 factores críticos de éxito propuestos en el principio de responsabilidad establecido en la norma ISO 38500. Una revisión exhaustiva de la literatura muestra que, en el contexto universitario no se han realizado estudios con estos propósitos. Este estudio empírico se realizó sobre el 76% de universidades ecuatorianas y muestra que los 13 factores analizados, 8 tomados de contextos
distintos al universitario y 5 extraídos desde las teorías del ámbito administrativo y comportamiento humano, tienen una influencia positiva en el éxito del Gobierno de las Tecnologías de la Información y el cumplimiento del principio de responsabilidad.",Universidad Nacional Mayor de San Marcos,Contribuciones al gobierno de las tecnologías de la información en el contexto universitario,Doctor en Ingeniería de Sistemas e Informática
"La Serna Palomino, Nora Bertha","Ayovi Ramirez, Marco Wellington",2022,"Pocas veces el éxito de una empresa surge de las casualidades. Por lo contario, se está más cerca del éxito y del bienestar cuando los resultados se producen por causalidades, lo que implica que se debe trabajar de manera planificada para encontrar los resultados deseados. Es también necesario manifestar que muchas
veces trabajando como debe ser, no se consiguen los resultados, debido a que hay una alta competitividad en las empresas, y por el hecho de que la gestión y planificación dentro de la empresa sean buenas, la competencia puede trabajar mucho mejor.
Las Pequeñas y Medianas Empresas (PYMES) representan más del 95% de las empresas en el mundo, radicando allí su importancia, ya que su aporte a la economía y a la empleabilidad mundial es significativo. Uno de esos segmentos de empresas que ocupan ese porcentaje, son las PYMES de Tecnologías de la Información y Comunicación (TIC), que por sus propias actividades y características son representativas en niveles de importancia para el crecimiento y desarrollo de la sociedad universal. Las PYMES de TIC probablemente tienen los mismos problemas que las PYMES de otros sectores, con dificultades organizativas y estructurales, necesarias para una adecuada gestión que propenda hacia el progreso, la competitividad, productividad y cada vez mayor rentabilidad. En los últimos años en diversos eventos y en publicaciones internacionales se ha tratado a profundidad los temas de Gestión de la calidad (GC), Gestión de la innovación (GI) y Gestión estratégica (GE), como pilares fundamentales para alcanzar la productividad (PR) de las organizaciones, y a partir de la PR obtener cada vez mayor Rentabilidad (RE).
Enfocado en que la GC, GI y GE integrada a las actividades de las PYMES de TIC pueden derivar en la Productividad de estas empresas, presentamos en esta investigación un Modelo Conceptual Corporativo, basado en GC, GI y GE para la Productividad de las PYMES de TIC. Estudio que se realizará en la geografía de la República del Ecuador.",Universidad Nacional Mayor de San Marcos,"Modelo corporativo basado en gestión de la calidad, gestión de la innovación y gestión estratégica, para pequeñas y medianas empresas del sector de las tecnologías de la información y comunicación",Doctor en Ingeniería de Sistemas e Informática
"Pró Concepción, Luzmila Elisa","Garcia Quilachamin, Washington Xavier",2021,"La revolución tecnológica del siglo XXI ha contribuido a la aplicación de algoritmos en
cámaras para la detección y reconocimiento de personas a partir de imágenes o videos
considerados aún complejos para una computadora. Por lo que las tecnologías asociadas a
la eficiencia energética y su uso en sistemas eléctricos surgen como problemas en la
aplicación de dispositivos inteligentes en: viviendas, edificios, empresas e instituciones
públicas y privadas. El objetivo de esta tesis es determinar de qué manera un algoritmo en
detección positiva de la imagen de una persona en tiempo real influye en la eficiencia
energética generada en un sistema de iluminación en una Smart Grid Home. Se realizó
una revisión sistemática de los algoritmos en detección de patrones, considerando los
criterios de Kitchenham y un estudio de campo, aplicado en instituciones públicas de la
provincia de Manabí - Ecuador, la cual fue validada mediante el análisis factorial de
confiabilidad relacionado con la prueba KMO, la esfericidad de Bartlett y el coeficiente
alfa de Cronbach. Se aplicaron técnicas en la detección de patrones y los resultados
obtenidos nos permiten considerar el modelo Support Vector Machines con un 92% de
reconocimiento y el algoritmo Viola-Jones con detección efectiva del 97,53%. De manera
experimental en relación con el algoritmo aplicado en un control de encendido y apagado
de un dispositivo de iluminación, los resultados determinaron que el 99.5% en la
detección de imágenes es positiva. Se concluye que la eficiencia y efectividad del
algoritmo aplicado en un control de encendido y apagado de un dispositivo de
iluminación mejora el consumo de energía eléctrica, siendo un aporte a la gestión
energética, seguridad y vigilancia de las personas y bienes materiales.",Universidad Nacional Mayor de San Marcos,Algoritmo en detección positiva de la imagen de una persona para la mejora en eficiencia energética en una Smart Grid Home,Doctor en Ingeniería de Sistemas e Informática
"Rodríguez Rafael, Glen Darío","Rosero Miranda, Raúl Hernán",2021,"Actualmente, en diferentes contextos, en mayor o menor grado, los
productos de software tienen acceso a bases de datos, siendo necesario
considerar las pruebas de regresión para productos de software, tales como
los sistemas de información. Esta tesis presenta dos aportes de investigación
que permiten motivar e introducir una nueva técnica/método para pruebas de
regresión por selección para software con acceso a datos.
El primer aporte establece los aspectos y factores considerados hasta
el año 2020, que evidencia la escasa aplicabilidad de las investigaciones de
la academia en la industria. El segundo aporte es el diseño de un método para
pruebas de regresión que realiza una combinación de técnicas de
clusterización probabilística no supervisada con valores de centroide
aleatorios y pruebas unitarias, que juntamente con el esquema de la base de
datos, determinar los casos de prueba relacionados con las modificaciones o
adiciones de nuevas funcionalidades del producto software. El método fue
validado empíricamente bajo el enfoque de ingeniería de software
experimental, mediante 32 de 37 pruebas de regresión de cinco proyectos de
software de pequeña y mediana escala, utilizando indicadores del campo de
la búsqueda y recuperación de información. Los resultados sugieren que el método propuesto mejora las pruebas de regresión en productos de software
con acceso a datos bajo entornos de desarrollo iterativo incremental.",Universidad Nacional Mayor de San Marcos,Método para reducir pruebas de regresión de software basado en acceso a los datos en entornos de desarrollo iterativo incremental,Doctor en Ingeniería de Sistemas e Informática
"Mauricio Sánchez, David Santos","Santisteban Pazos, José Luis",2021,"El emprendurismo es un responsable directo de impulsar el progreso
económico de las naciones, ya que al generar nuevas compañías se generan
nuevos puestos de trabajos y riquezas. Uno de los emprendimientos más
conocidos son las Startups de Tecnología de la Información (STI), este tipo
de empresas son entidades temporales e innovadoras que transforman
invenciones tecnológicas en productos innovadores. Conocedores de su
importancia que tienen este tipo de iniciativas empresariales, su tasa de
fracaso es alta en todo el mundo, solo el 20% logra superar los 3 primeros
años de operación. Por esta razón, se viene realizando diferentes estudios
sobre el éxito de la startup, identificando Factores Críticos de Éxito (FCE).
Sin embargo, aún hay factores que no han sido estudiados y que influyen de
manera positiva. Además, estos estudios no identifican cómo los factores
contribuyen en el éxito de las Etapas del Ciclo de Vida (ECV) de una STI.
Por lo tanto, esta tesis se identifican nuevos FCE en cada una de las ECV y
su éxito general, así mismo, se identifican y estandarizan las ECV de una
STI. Teorías como Capacidad de absorción, Confirmación de la expectativa,
Modelo de éxito de un sistema de información, y la Capacidad dinámica
ofrecen FCE no investigados en materia de emprendimiento tecnológico
(Capacidad de absorción de conocimiento, Alto rendimiento percibido del
producto, Calidad del producto, Satisfacción del cliente, y Capacidad
dinámica). Se llevó a cabo dos estudios con pruebas estadísticas para
demostrar, que los nuevos FCE tienen una contribución “Alta” y “Muy alta”
sobre el éxito de una STI, con un 95% de certidumbre en la prueba de
hipótesis T-Student.",Universidad Nacional Mayor de San Marcos,Contribuciones al desarrollo de una Startup de TI: ciclo de vida y factores críticos de éxito,Doctor en Ingeniería de Sistemas e Informática
"La Serna Palomino, Nora Bertha","Cadena Moreano, José Augusto",2021,"La presente investigación se desarrolla en el marco de
los sistemas de reconocimiento facial automático de imágenes, que consisten en
procesar las imágenes de caras de personas utilizando métodos estadísticos y
matemáticos de extracción de características y de clasificación de imágenes, para
conocer si un individuo se encuentra en una determinada clase, y finalmente hallar su
identidad. El tratamiento automático de una cara es complicado, debido a que se
presenta varios factores que le afectan, como la posición de la cara, la expresión, la
edad, la raza, el tipo de iluminación, el ruido, y objetos como lentes, sombrero, barba
entre otros. El procesamiento se realiza de forma global, en donde se procesa toda la
cara. Se sabe que procesar las imágenes de manera global es más rápido, práctico y
fiable que las basadas en rasgos. Además, se conoce que procesar imágenes en tres
dimensiones es más real y consistente que en dos dimensiones. El principal objetivo
de la tesis que se propuso fue desarrollar una técnica eficiente de reconocimiento facial
con rasgos globales, y con imágenes en tres dimensiones. Para ello, se seleccionó los
algoritmos más eficientes para extracción de características, filtros de Gabor, y el
algoritmo para clasificación, máquina de vectores de soporte (SVM). Este último
algoritmo, su eficiencia varía de acuerdo a la función núcleo o kernel, por ello en esta
tesis se trabajaron con tres kernel: líneal, gauseano y cúbico. Estos sistemas constan
de dos procesos necesarios: 1) Entrenamiento, y 2) Pruebas. Lo que permitió establecer
un modelo de reconocimiento facial global para dos y tres dimensiones
respectivamente. La técnica fue procesada primero para imágenes 2D, luego para
imágenes 3D. Y se utilizó el método de validación cruzada en ambos casos para
aprobarlo. Los mejores resultados obtenidos con la técnica alcanzada son 96% de
eficiencia con base de datos de imágenes de dos dimensiones; y 98,4% con base de
datos de imágenes de tres dimensiones. Finalmente, se hace una comparación de los
resultados alcanzados con otros trabajos de investigación similares, obteniéndose
mayor eficiencia con este trabajo.",Universidad Nacional Mayor de San Marcos,Técnica eficiente para reconocimiento facial global utilizando wavelets y máquinas de vectores de soporte en imágenes 3D,Doctor en Ingeniería de Sistemas e Informática
"Aguilar Alonso, Igor Jovino","Mera Macias, Angel Cristian",2021,"Para desarrollar una buena gestión de servicios tecnológicos es necesario
contar con un catálogo de servicios de tecnologías de la información; sin
embargo, según la literatura se evidencian bajos niveles de implementación
de este catálogo en entidades públicas, esto se corroboró mediante un estudio
de campo realizado en 30 instituciones públicas de la provincia de Manabí,
República del Ecuador, evidenciando que de las pocas entidades que
contaban con un catálogo de servicios (22% parcialmente y 5% totalmente
implementado), la mayoría realizan sus operaciones de manera empírica; su
falta de implementación se da por factores como la no obligatoriedad para
desarrollarlo, el desconocimiento del tema y de las normas y/o prácticas
existentes. Ante esta situación se propuso como objetivo general desarrollar
una metodología para la construcción del ITSC basada en mejores prácticas
de ITSM para contribuir a la gestión del catálogo de servicios de TI en
entidades públicas mediante la automatización de sus actividades. Para
lograrlo, se realizó una revisión sistemática de la literatura, donde se
determinaron 35 estudios que contribuyeron al desarrollo de la propuesta, la
misma que fue construida siguiendo el paradigma de la investigación en las
ciencias del diseño; además, la propuesta fue probada mediante casos de
estudio en tres entidades públicas (dos de Ecuador y una de Perú) aplicando
ocho factores de calidad para la evaluación de artefactos en la construcción
de catálogos, y comprobando los niveles de exactitud (80.81%), sensibilidad
(87.59%), precisión (90.41%) y Puntuación F1 (88.93%), derivados de la
matriz de confusión; finalmente, se evaluó la contribución de la propuesta por
parte de 46 profesionales de tecnologías de la información que laboran en
entidades públicas ecuatorianas y que conocen del catálogo, corroborando
que la propuesta contribuye a la identificación y clasificación de servicios, la
retroalimentación del catálogo y a la automatización de la gestión de servicios
de tecnologías de la información, y por ende a la automatización de la gestión
del catálogo de servicios de tecnologías de la información.",Universidad Nacional Mayor de San Marcos,Metodología para la construcción del catálogo de servicios de TI basada en mejores prácticas de ITSM en entidades públicas,Doctor en Ingeniería de Sistemas e Informática
"Gamboa Cruzado, Javier Arturo","Chancusig Chisag, Juan Carlos",2021,"La investigación se encuentra enmarcada en la implementación de un modelo de
adopción de las TIC para el proceso enseñanza – aprendizaje aplicadas a la Universidad
Técnica de Cotopaxi, específicamente para mejorar la educación universitaria, esto se
debe a los constantes avances en áreas de multimedia digital y la tecnología didáctica,
por lo que los organismos se comprometen a mejorar su organización académica y sus
procesos educativos. A través del uso de tecnologías de colaboración, las instituciones educativas tratan que la administración del conocimiento se integre interiormente y externamente de la propia
universidad, ya que se consideran que ello ayuda a la innovación educativa. En este
contexto y viendo la problemática de estudio, la solución es la aplicación del nuevo
proceso de aceptación de las TIC mejorará el proceso enseñanza – aprendizaje en los
estudiantes universitarios.
En los últimos años se ha desarrollado el uso de TIC en los distintos niveles de
educación y específicamente en las universidades actualmente cuentan con nuevos
recursos tecnológicos muy avanzados, en el caso concreto de la universidad donde se
está desarrollando la investigación el objetivo de estudio es, desarrollar un nuevo
modelo de adopción de TIC, con lo cual es posible dar solución al proceso educativo.
Se aplica una metodología de estudio basado en un abordaje sistemático de la literatura
de los teórías de las TIC tomando como referencia el primer modelo que apareció el
Modelo TAM que fue desarrollado por Davis en 1986 en las universidades del mundo.
La investigación arrojó los resultados esperados con el desarrollo del nuevo modelo de
adopción de las TIC, con la utilización de herramientas colaborativas de uso en un
Ambiente de Aprendizaje Colaborativo (CLE) para la elaboración de los constructos,
alfa de cronbach, varianza, colinealidad, correlaciones y la utilización de software
estadístico como el minitab se validó las hipótesis planteadas.",Universidad Nacional Mayor de San Marcos,"Implementación de un modelo de adopción de la tecnología de información y comunicación para el proceso de enseñanza–aprendizaje en la Universidad
Técnica de Cotopaxi",Doctor en Ingeniería de Sistemas e Informática
"Bayona Oré, Luz Sussy","Morales Lozada, José Vicente",2020,"Desarrolla un modelo conceptual integrado de influencia de factores en los niveles de desarrollo de e-gobierno, y que, mediante la determinación de los factores críticos permita mejorar la presencia y prestación de e-servicios en los municipios. El tipo de investigación aplicado en el presente trabajo es relacional, descriptiva y con un punto de vista cuantitativo. El diseño del estudio es no experimental, en virtud de que se analizan datos, logrados mediante la encuesta. Con aplicación del análisis multivariante y la técnica de componentes principales se determinó que todos los factores propuestos poseen las características de esfericidad necesarias para indicar que las variables están relacionadas entre sí. Además, la prueba de KMO con un 95% de confianza, permitió verificar que 27 de un total de 55 relaciones fueron válidas. Los resultados posibilitaron determinar qué factores son los más influyentes en cada nivel de desarrollo de e-gobierno, lo cual permitió validar el modelo integrado final de influencia de factores. Este modelo fue implementado en 5 municipios aplicando el método de estudio de casos, cuyos resultados muestran que, al contar con un modelo integrado se logra mejorar el índice de desarrollo de e-gobierno, parámetro útil para la toma acertada de decisiones de la alta dirección. Se concluye que al integrar modelos de e-gobierno y factores críticos, se logra mejorar la prestación de e-servicios mediante la implementación de los mismos, logrando mejorar el desarrollo de e-gobierno en forma global y por etapas de desarrollo.",Universidad Nacional Mayor de San Marcos,Modelo conceptual integrado de e-gobierno para mejorar la prestación de e-servicios en las municipalidades de la provincia de Tungurahua - Ecuador,Doctor en Ingeniería de Sistemas e Informática
